product,canonical,status,sha256,extra_count,p1_fail,p2_fail,sheet_count,formula_count,chart_count,real_hyperlinks,reason
sgk-prim-tesvikleri-optimizasyon-motoru,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/sgk-prim-tesvikleri-optimizasyon-motoru/SgkPrimTesvikleriOptimizasyonMotoru.xlsx,READY_FOR_REVIEW,12351a4ed2a1b13638a4c1ed03a1cd4b1f73ae95de583e2ae47ddaf504979763,0,0,0,15,3251,9,28,
sirket-oz-kaynagi-eridi-mi-ttk-376-sermaye-tamamlama-cetveli,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/sirket-oz-kaynagi-eridi-mi-ttk-376-sermaye-tamamlama-cetveli/SirketOzKaynagiEridiMiTtk376SermayeTamamlama.xlsx,READY_FOR_REVIEW,8363d7d6f608480920880c9f689dee343d3a312506006763f6bb4032d86f94d5,0,0,0,19,10190,8,36,
sirket-satin-alma-ve-ortaklik-devir-analizi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/sirket-satin-alma-ve-ortaklik-devir-analizi/current.xlsx,READY_FOR_REVIEW,2c56cf33eea0bd6c1b6474f030aa2b3c90b32a6439872adf51982618886c20b5,0,0,0,38,88,0,74,
site-apartman-yonetim-sistemi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/site-apartman-yonetim-sistemi/SiteApartmanYonetimSistemi.xlsx,READY_FOR_REVIEW,1baf54c427128f05995c7f6405993cf7d45f2018cc5a97b0a60ce94da3da8eb2,0,0,0,21,4820,8,40,
spc-proses-yetenek-analizi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/spc-proses-yetenek-analizi/SpcProsesYetenekAnalizi 2.xlsx,READY_FOR_REVIEW,d990cd36ef9d4aa163b4b7f1b2a3b5a1c3781a33f8a61272e93e65faeda22064,0,0,0,14,3209,10,26,
startup-yatirim-alma-ve-nakit-runway,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/startup-yatirim-alma-ve-nakit-runway/current.xlsx,READY_FOR_REVIEW,4cf16cccb6b6045ff0c4ee3299c56ddac7843a635a99dc89ea786c30c191513a,0,0,0,38,88,0,74,
stok-optimizasyon-abc-olu-stok-nakit,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/stok-optimizasyon-abc-olu-stok-nakit/StokOptimizasyonAbcOluStokNakit.xlsx,READY_FOR_REVIEW,371a0e735a21878e16be457ca6fbb6f8accf0ced04eaf2026c299cb89f9d9ab1,0,0,0,13,2931,8,24,
stok-satis-ve-nakit-baglanma-sistemi,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/stok-satis-ve-nakit-baglanma-sistemi/StokSatisVeNakitBaglanmaSistemi.xlsx,READY_FOR_REVIEW,1008669e4abf6b51227f52fdc55159152efda2faf1371cd398f5df56d183437c,0,0,0,17,4189,8,32,
sube-karlilik-ve-nakit-hesaplayici,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/sube-karlilik-ve-nakit-hesaplayici/SubeKarlilikVeNakitHesaplayici.xlsx,READY_FOR_REVIEW,c04f74d54d23f691e7eb5e0d02f516b7f24b58e59a8875e1137c7abc69a867a2,0,0,0,19,765,8,36,
sut-surusu-yonetim,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/sut-surusu-yonetim/SutSurusuYonetim.xlsx,READY_FOR_REVIEW,010ad95dc43c2923a0806a248df76a50dbf517c6772cc2a55a5ad04b995979ab,0,0,0,14,3207,10,26,
tahsilat-riski-vade-komuta-paneli,/home/runner/work/excelarsiv/excelarsiv/EXCELARSIV_PRODUCTS/_SYSTEM/CALIBRATED/tahsilat-riski-vade-komuta-paneli/TahsilatRiskiVadeKomutaPaneli.xlsx,READY_FOR_REVIEW,30e3e5473e632321bf79f679119e272690b4321ddf417d2d54e924b7b411d0b3,0,0,0,13,2686,8,24,
